,0
MPC1,0.011411232230509338
ABHD10,0.01081105585895477
TBPL1,0.010043833092336705
ZNF823,0.007215748690949146
DRAM2,0.006934604721206871
FKBP3,0.006360042207302792
DEF8,0.006259102654451489
TPMT,0.00623698519854459
RLN1,0.006203601164841473
PGM3,0.006049792591145976
YIPF6,0.005934048527611778
RPL3,0.005745061479540416
SAR1B,0.005745061479540415
TCEAL9,0.0056650311142080155
POP4,0.0056390977443609
CEP43,0.005613913201342027
SMIM7,0.005592082616179003
CRYZL1,0.005551309152723203
HSCB,0.0054662985967333785
SRP54,0.005433574710683145
SEC61B,0.0054321138780398315
PSMA5,0.005396788092440266
SUPV3L1,0.005328770602651142
UMPS,0.005297165928346112
COX11,0.005194755003450656
NDUFA1,0.005194095393388808
ZNF35,0.005186112597348551
PPME1,0.005141808475141808
KNSTRN,0.005135955831608007
DNAJB6P1,0.005129968060784615
ZMYND12,0.0051218422951498244
CLTRN,0.0050391341796801855
COX4I1,0.005009094779209721
HNRNPH2,0.0049741824440619605
LIPA,0.0049639442884456915
ACADSB,0.004962882548183532
AP5M1,0.004936571683559634
TSPAN1,0.004924230595807857
PIGBOS1,0.004905228886581156
RPE,0.00484576250753466
BLVRA,0.004820580250547868
ATP5F1C,0.004814894378804156
ATP5F1A,0.004792899408284024
PLGRKT,0.004751168972733958
CDIN1,0.0047388102778700165
PDZD11,0.0047388102778700165
RTN4,0.004685218222450314
ESD,0.004626152832674573
RHOA,0.004618924572412944
CASTOR1,0.004599501578445175
NPRL2,0.004578370195642215
COA6,0.004571934473457131
POLR1C,0.004532552083333333
ZCCHC17,0.0045039777056949245
MICOS13,0.004502435064935067
HDX,0.004499278089204547
POLR3B,0.004488257550999658
EDEM2,0.004439209164818921
MDP1,0.004428571428571429
MZT2A,0.004408602150537633
PXMP4,0.004404713609581767
NEMF,0.004404713609581763
ZNF799,0.004311864802820874
UBXN2B,0.004307539262644017
BPGM,0.004306943536419578
MTCH2,0.004295938450527823
RTCA,0.004269972451790633
RMDN2,0.00426470588235294
PRCP,0.004256162253323694
SDHB,0.004224517116083383
ZNF585B,0.004209423347398031
CCT4,0.004163810379185496
METTL25,0.0041179238940432985
B4GALT4,0.004109330977110181
OTUB1,0.004081811672037237
CETN3,0.0040425531914893625
ZCRB1,0.004034575045207958
SNRPD3,0.004031764074389821
ATP6V1E1,0.0040300264939652644
TSTD1,0.004023502180053513
ICE2,0.003996003996003997
PLXDC1,0.003981481481481482
ATP5IF1,0.003961966380267032
PSMA1,0.003931972789115647
LINC01612,0.003921296296296297
GABBR1,0.003921296296296295
SIKE1,0.003918941739375176
SOAT1,0.0038882997525627426
RMDN1,0.003875811752126671
TAGLN3,0.003783635505858795
PSMC2,0.003733522447091361
TMX2,0.003698159576585914
MGST3,0.0036908939014202186
CMC1,0.00365994019490882
LOC107985433,0.003554687500000001
UFM1,0.0035265306122448975
C6orf99,0.0034620146716765068
NME7,0.003450617283950616
